lambda,NSE,CSI,TSS,RMSE,MAE,delta_mass_pct,Spearman,PR_AUC,NSE_depth,delta_mass_depth,lambda_phys,alpha_aug,scale_factor,spectral_radius
0.0,-2.73655819965863,0.0,0.0,3.777072956176822,3.3070441453772124,79.91734914818701,0.42008260613252113,0.7234599441189395,0.9305974591109952,5.065497008904334,0.0,0.001,14.8951360397427,0.9
0.01,-2.737924091902297,0.0,0.0,3.7777632442698295,3.3072149647516698,79.9213447141827,0.4228343111679333,0.7233476566007767,0.9288361263128101,5.168532727905358,0.01,0.002018144397804131,14.907351093812023,0.9
0.05,-2.7396276521069045,0.0,0.0,3.7786240046641146,3.3072648230623862,79.92015706435795,0.4226673511453494,0.725096312971698,0.9249928531498577,5.330263101716506,0.05,0.006090721989020655,14.932308614038254,0.9
0.1,-2.742468083202421,0.0,0.0,3.7800587576459193,3.307966722897505,79.93553911025147,0.417513246506674,0.7310500683527139,0.9219885160425841,5.428796539160061,0.1,0.01118144397804131,14.945387755219594,0.9
0.5,-2.760732282317652,0.0,0.0,3.789271356965999,3.31355622011243,80.06841783263819,0.5924604818689981,0.7195392306748443,0.9106988421451916,5.747186623446995,0.5,0.05190721989020655,14.959661580839338,0.9
1.0,-2.771357398221793,0.0,0.0,3.7946204548265747,3.317034805218487,80.15223353573566,0.5943036217424957,0.7112344735013395,0.9042453300499479,5.91474310921814,1.0,0.1028144397804131,14.956814519295852,0.9
5.0,-2.7987116817736597,0.0,0.0,3.8083570984773307,3.3255904860667638,80.3568272497128,0.5882870323348701,0.7005158879155939,0.8861330076465388,6.382521706336831,5.0,0.5100721989020655,14.988855602809426,0.9
