transfer_type,held_out,n_train,n_test,NSE,CSI,TSS,RMSE,MAE,delta_mass_pct,Spearman,PR_AUC,NSE_depth,delta_mass_depth,lambda_phys,alpha_aug,scale_factor,spectral_radius
LORO,west_africa_niger_benue,87,73,-0.390508666838703,0.0,0.0,3.089200672154205,2.1525699706260455,77.45737400488493,0.48500987429749426,0.7762422995064269,0.8568576766979369,9.183939298493284,0.1,0.013247081068469922,9.164511603458838,0.9
LORO,east_africa_nile_headwaters,81,96,-0.2899028278728413,0.0,0.0,2.903141366356827,2.1815599813701407,62.15453768325147,0.34375039224086923,0.7198969224318206,0.9692185195034978,2.502254467483759,0.1,0.010710681506142836,17.10512776122301,0.9
LORO,southern_africa_limpopo_zambezi,86,74,-0.07942299147180698,0.0,0.0,1.8950990562730292,1.4475553640236505,35.48504651737847,0.28634344478296625,0.29668735721360795,0.9954982553313874,0.48926863976637175,0.1,0.010401134361651493,18.91268491526123,0.9
LOYO,2020,120,32,-2.4772250622808585,0.0,0.0,3.4297773209935962,2.94710585436508,78.1652216851662,0.3324780058651026,0.7172619047615778,0.9352749934056377,5.602560897461441,0.1,0.01118144397804131,14.945387755219594,0.9
LOYO,2021,120,15,-3.1998144896652425,0.0,0.0,3.3817582506574917,3.0089082697427245,77.94926995763767,0.1857142857142857,0.4937499999996553,0.9451312807101818,5.458354952529851,0.1,0.01118144397804131,14.945387755219594,0.9
LOYO,2022,120,25,-1.9975345596410419,0.0,0.0,3.8374610787752776,3.2733770923610677,79.41692029048876,0.2311983116435628,0.5631746031743177,0.9140836341074895,5.707023652888174,0.1,0.01118144397804131,14.945387755219594,0.9
LOYO,2023,120,21,-3.2135434278577932,0.0,0.0,3.841357014877592,3.3800338191823336,81.0780474873173,0.4889470974136814,0.5981150793647823,0.9735922732714624,3.1912126685990856,0.1,0.01118144397804131,14.945387755219594,0.9
LOYO,2024,120,23,-4.264169116053967,0.0,0.0,4.305183564765672,3.938798156088538,81.7477860986702,0.48517786561264825,0.6173740510693637,0.8640647292539567,9.931985481450678,0.1,0.01118144397804131,14.945387755219594,0.9
