model,NSE,CSI,TSS,RMSE,MAE,delta_mass_pct,Spearman,PR_AUC,NSE_depth,delta_mass_depth,lambda_phys,alpha_aug,scale_factor,spectral_radius
PADR-Net-0,-2.73655819965863,0.0,0.0,3.777072956176822,3.3070441453772124,79.91734914818701,0.42008260613252113,0.7234599441189395,0.9305974591109952,5.065497008904334,0.0,0.001,14.8951360397427,0.9
PADR-Net-lambda,-2.742468083202421,0.0,0.0,3.7800587576459193,3.307966722897505,79.93553911025147,0.417513246506674,0.7310500683527139,0.9219885160425841,5.428796539160061,0.1,0.01118144397804131,14.945387755219594,0.9
