transfer_type,held_out,n_train,n_test,Spearman,PR_AUC,MAE,RMSE,CSI,TSS,NSE,delta_mass_pct,NSE_depth,alpha_aug,spectral_radius
LORO,west_africa_niger_benue,246,138,0.47448908534232587,0.848986508300047,0.3696254481870714,0.6037484223469376,0.7249999999999819,0.780027739251017,0.0028385663018868357,3.691635421054052,0.8333808037514383,0.004433770928921275,0.8999999999999958
LORO,east_africa_nile_headwaters,192,197,0.48782918797422065,0.5600058718407271,0.4474946059707886,0.6075010012918739,0.3548387096774136,0.35836734693876726,-1.3264946154409114,5.494335348305801,0.8971731321937865,0.006340883134520295,0.8999999999999958
LORO,southern_africa_limpopo_zambezi,258,107,0.2483786908050706,0.585159396304447,0.425147258793984,0.6124151239489418,0.3703703703703567,0.3703703703703567,-0.011144591525406256,2.3144249728556234,0.6738439755158413,0.004215716569466724,0.8999999999999958
LOYO,2020,312,19,0.7017543859649124,0.6384586466161359,0.17096240552454117,0.21114984325401542,0.59999999999988,0.59999999999988,0.4515118416509898,0.235874877585499,0.7260347453212426,0.004713421995906995,0.8999999999999958
LOYO,2021,312,18,0.10835913312693499,0.3949603174601367,0.49502897903818194,0.5850090192030785,0.24999999999996875,0.16923076923070696,-0.2700726805015492,3.9709320422647445,0.8029632465521255,0.004713421995906995,0.8999999999999958
LOYO,2022,312,12,0.5524475524475525,0.4305555555551678,0.31342385660763544,0.3584735446861715,0.33333333333322224,0.33333333333322224,0.2625254739655942,0.48985191754103163,0.6030821067795578,0.004713421995906995,0.8999999999999958
LOYO,2023,312,23,0.4061264822134388,0.6925724637677286,0.34953353226058675,0.4583220619820199,0.4999999999999167,0.4999999999999167,0.19537456066680658,2.6585430419352156,0.8325127686330884,0.004713421995906995,0.8999999999999958
LOYO,2024,312,22,0.6826651609260306,0.6143939393936346,0.24900337148636018,0.3047360619442438,0.2857142857142449,0.27083333333328163,0.23563686331976275,2.5889457031101495,0.8022066943046475,0.004713421995906995,0.8999999999999958
