predictor_set,model_id,feature_groups,Spearman,PR_AUC,MAE,RMSE,CSI,TSS,NSE,delta_mass_pct,NSE_depth,alpha_aug,spectral_radius
$\mathbf{x}^{R}$,M0,R,0.06849691146190803,0.2469407195718697,0.37352919620691,0.471419823587341,0.03448275862068847,-0.029761904761905475,-0.1595753980945338,1.0586687210230985,0.9537246172571817,0.006161427659618668,0.8999999999999958
"$[\mathbf{x}^{R},\mathbf{x}^{M}]$",M1,R+M,0.0854025936495322,0.2889568042358266,0.3898695073656228,0.48427782180121387,0.09677419354838399,0.02499999999999622,-0.22369298775019963,1.3035758217339446,0.9537246172571817,0.006161427659618668,0.8999999999999958
"$[\mathbf{x}^{R},\mathbf{x}^{M},\mathbf{x}^{E}]$",M4,R+M+E,0.5544413538995051,0.7955728090243905,0.2832614674164405,0.37105569050329357,0.4166666666666493,0.4166666666666493,0.28160797375758184,0.5260027338280021,0.9537246172571817,0.006161427659618668,0.8999999999999958
"Full $[\mathbf{x}^{R},\mathbf{x}^{M},\mathbf{x}^{E},\mathbf{x}^{H}]$",M6,R+M+E+H,0.48706426326626445,0.7362255686465939,0.30044842273583855,0.388215968872031,0.333333333333321,0.33214285714284214,0.2136242688125236,0.5533311115804792,0.9247575768557033,0.004713421995906995,0.8999999999999958
