model,feature_groups,lambda_phys,Spearman,PR_AUC,MAE,RMSE,CSI,TSS,NSE,delta_mass_pct,NSE_depth,alpha_aug,spectral_radius
M0,R,0.1,0.06849691146190803,0.2469407195718697,0.37352919620691,0.471419823587341,0.03448275862068847,-0.029761904761905475,-0.1595753980945338,1.0586687210230985,0.9537246172571817,0.006161427659618668,0.8999999999999958
M1,R+M,0.1,0.0854025936495322,0.2889568042358266,0.3898695073656228,0.48427782180121387,0.09677419354838399,0.02499999999999622,-0.22369298775019963,1.3035758217339446,0.9537246172571817,0.006161427659618668,0.8999999999999958
M2,R+E,0.1,0.5578658382400752,0.7943139470861234,0.2759317287296007,0.36055435905193556,0.39999999999998403,0.40238095238093524,0.3216953229644256,0.23671202411711248,0.9537246172571817,0.006161427659618668,0.8999999999999958
M3,R+H,0.1,0.08528699924141171,0.2579711226788794,0.37268483418687026,0.4740922672100678,0.06451612903225598,-0.016666666666668703,-0.17275975495739337,1.3342510131751268,0.9247575768557033,0.004713421995906995,0.8999999999999958
M4,R+M+E,0.1,0.5544413538995051,0.7955728090243905,0.2832614674164405,0.37105569050329357,0.4166666666666493,0.4166666666666493,0.28160797375758184,0.5260027338280021,0.9537246172571817,0.006161427659618668,0.8999999999999958
M5,R+M+H,0.1,0.04024852797745909,0.2769628389525727,0.3983121114816195,0.4980698141107462,0.11428571428571102,0.009523809523804827,-0.2943858427272126,1.5604922693905243,0.9247575768557033,0.004713421995906995,0.8999999999999958
M6,R+M+E+H,0.1,0.48706426326626445,0.7362255686465939,0.30044842273583855,0.388215968872031,0.333333333333321,0.33214285714284214,0.2136242688125236,0.5533311115804792,0.9247575768557033,0.004713421995906995,0.8999999999999958
M7,R+M+E+H,0.0,0.48706426326626445,0.7362255686465939,0.30044842273583855,0.388215968872031,0.333333333333321,0.33214285714284214,0.2136242688125236,0.5533311115804792,0.9276138788586594,0.001,0.8999999999999958
M8,R+M+E+H,1.0,0.48706426326626445,0.7362255686465939,0.30044842273583855,0.388215968872031,0.333333333333321,0.33214285714284214,0.2136242688125236,0.5533311115804792,0.8989117524587751,0.038134219959069945,0.8999999999999958
